stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.030813299999863375,,0.013420899999800895,0.030813299999863375,0.5297264999999243,0.5297264999999243,0.5474551999998312,0.8314451999999619,14.596364399999857,right,10.0,1,1,14.04726380000011,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
1,1,8.0,14.61025769999992,,14.596439999999802,14.61025769999992,15.111699099999896,15.111699099999896,15.111699099999896,15.41177619999985,25.01038010000002,right,8.0,0,0,9.883938100000023,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
2,1,9.0,25.026141099999904,,25.01048199999991,25.026141099999904,25.509550099999842,25.509550099999842,25.526440200000025,25.810221099999808,26.010586899999907,right,9.0,0,0,0.49503180000010616,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
3,1,10.0,26.02621399999998,,26.01068650000002,26.02621399999998,26.524967299999844,26.524967299999844,26.54214539999998,26.825890099999924,26.87803299999996,right,10.0,0,0,0.3516438999999991,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
4,1,11.0,26.89221909999992,,26.878155099999958,26.89221909999992,27.392324700000017,27.392324700000017,27.392324700000017,27.69237739999994,27.76054669999985,right,11.0,0,0,0.3563550999999734,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
5,1,12.0,27.775752699999884,,27.760684399999946,27.775752699999884,28.275937699999986,28.275937699999986,28.275937699999986,28.575966799999833,28.643740999999864,right,12.0,0,0,0.3568457999999737,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
6,1,13.0,28.65886519999981,,28.643868499999826,28.65886519999981,29.15898519999996,29.15898519999996,29.15898519999996,29.458955299999843,29.510495099999844,right,13.0,0,0,0.34728280000013,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
7,1,14.0,29.525179499999922,,29.5106667,29.525179499999922,30.025588799999923,30.025588799999923,30.025588799999923,30.32654649999995,30.459552799999983,left,-14.0,0,0,0.42942820000007487,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
8,1,15.0,30.474827399999867,,30.459658399999853,30.474827399999867,30.960327199999938,30.960327199999938,30.975500099999863,31.274232799999936,31.391359899999998,left,-15.0,0,0,0.4199905000000399,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
9,1,16.0,31.4071042999999,,31.39144620000002,31.4071042999999,31.891643499999873,31.891643499999873,31.90792199999987,32.191921299999876,32.326172599999836,right,16.0,0,0,0.4180940000001101,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
10,1,17.0,32.34138169999983,,32.32629249999991,32.34138169999983,32.84127169999988,32.84127169999988,32.84127169999988,33.14130690000002,33.2428003,right,17.0,0,0,0.39643279999995684,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
11,1,18.0,33.258643799999845,,33.24291849999986,33.258643799999845,33.758080199999995,33.758080199999995,33.758080199999995,34.05783599999995,34.191994999999906,right,18.0,0,0,0.4203886999998758,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
12,1,19.0,34.20734369999991,,34.19212359999983,34.20734369999991,34.690890399999944,34.690890399999944,34.70758119999982,34.99016199999983,35.24212669999997,right,19.0,0,0,0.5361295000000155,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
13,1,20.0,35.256923400000005,,35.24217939999994,35.256923400000005,35.75779699999998,35.75779699999998,35.75779699999998,36.05762970000001,36.19117809999989,left,-20.0,0,0,0.4302531999999246,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
14,1,20.0,36.207190099999934,,36.1912805999998,36.207190099999934,36.69058989999985,36.69058989999985,36.70767000000001,36.99094459999992,37.15819089999991,left,-20.0,0,0,0.46409029999995255,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
15,1,20.0,37.17237809999983,,37.158295499999895,37.17237809999983,37.674140899999884,37.674140899999884,37.674140899999884,37.97389369999996,38.141345,left,-20.0,0,0,0.45938509999996313,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
16,1,20.0,38.156685599999946,,38.141464799999994,38.156685599999946,38.65649539999981,38.65649539999981,38.65649539999981,38.957260099999985,39.14181450000001,right,20.0,0,0,0.4714519999999993,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
17,1,20.0,39.15669519999983,,39.1419406,39.15669519999983,39.656975299999885,39.656975299999885,39.656975299999885,39.95687609999982,40.14393599999994,right,20.0,0,0,0.4827303000001848,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
18,1,20.0,40.15615239999988,,40.14401069999985,40.15615239999988,40.656201899999814,40.656201899999814,40.656201899999814,40.95621929999993,41.206805999999915,left,-20.0,0,0,0.540851400000065,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
19,1,20.0,41.2226619999999,,41.20690089999994,41.2226619999999,41.705988199999865,41.705988199999865,41.72281369999996,42.006468599999835,42.02488399999993,left,-20.0,0,0,0.31379649999985304,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
20,1,20.0,42.03913629999988,,42.02501889999985,42.03913629999988,42.539063499999884,42.539063499999884,42.539063499999884,42.839390200000025,42.95662179999999,right,20.0,1,1,0.4081538000000364,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
21,1,20.0,42.972663999999895,,42.9567169999998,42.972663999999895,43.47291969999992,43.47291969999992,43.47291969999992,43.77254889999995,43.80692520000002,left,-20.0,0,0,0.323888800000077,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
22,1,20.0,43.82169539999995,,43.80705279999984,43.82169539999995,44.322586999999885,44.322586999999885,44.322586999999885,44.6223908999998,44.722814399999834,right,20.0,0,0,0.39068350000002283,1,001,2024-09-06_11h40.05.109,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h40.40.174294 +0530,
