stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,1,14.0,8.753262499999892,,8.738640399999895,8.753262499999892,9.253358200000093,9.253358200000093,9.253358200000093,9.553476600000067,9.620803700000124,right,14.0,0,0,0.3568140000002131,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
12,1,15.0,9.636758499999814,,9.620907699999862,9.636758499999814,10.119998499999838,10.119998499999838,10.136457699999937,,10.38789719999977,left,-15.0,1,1,0.2661929999999302,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
13,1,15.0,10.40250479999986,,10.388001299999814,10.40250479999986,10.903046699999777,10.903046699999777,10.903046699999777,11.20280619999994,11.253867599999921,right,15.0,1,1,0.3471972000002097,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
14,1,15.0,11.269146300000102,,11.253958400000101,11.269146300000102,11.770661000000018,11.770661000000018,11.770661000000018,,11.85301709999976,left,-15.0,1,1,0.0793760999999904,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
15,0.5,14.0,11.868967200000043,,11.853094600000077,11.868967200000043,12.353323799999998,12.353323799999998,12.369764300000043,12.652683400000114,12.637320299999828,right,14.0,0,0,0.2680492999998023,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
16,0.5,14.5,12.652683400000114,,12.637446000000182,12.652683400000114,13.153422800000044,13.153422800000044,13.153422800000044,13.452285299999858,13.437123000000156,right,14.5,1,1,0.2694860999999946,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
17,0.5,14.5,13.452285299999858,,13.43721770000002,13.452285299999858,13.95265930000005,13.95265930000005,13.95265930000005,14.253088399999797,14.552869600000122,right,14.5,0,0,0.585305800000242,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
18,0.5,15.0,14.569206499999837,,14.55296670000007,14.569206499999837,15.06926280000016,15.06926280000016,15.06926280000016,,15.220044400000006,right,15.0,0,0,0.13456919999998718,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
19,0.5,15.5,15.235726899999918,,15.220150000000103,15.235726899999918,15.73510159999978,15.73510159999978,15.73510159999978,,15.96955829999979,right,15.5,0,0,0.2260574000001725,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
20,0.5,16.0,15.985151400000177,,15.969642300000032,15.985151400000177,16.485361399999874,16.485361399999874,16.485361399999874,,16.736352800000077,left,-16.0,0,0,0.2487848999999187,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
